City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
6,Faanui,PF,81.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Gigmoto,PH,84.97,scattered clouds,13.7796,124.39,Cj's Travellers Inn
18,Atuona,PF,79.36,broken clouds,-9.8,-139.0333,Villa Enata
24,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
25,Celestun,MX,78.04,scattered clouds,20.8667,-90.4,Posada Lilia
36,Culebra,PR,78.84,few clouds,18.303,-65.301,Palmetto Guesthouse
48,Honolulu,US,83.44,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
51,Kapaa,US,78.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Bengkulu,ID,82.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
55,Daru,PG,84.56,overcast clouds,-9.0763,143.2092,Daru Lodge
58,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
60,Puerto Madero,MX,82.6,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
76,Ayorou,NE,84.02,broken clouds,14.7308,0.9174,Hotel Amenokal
83,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
94,Cabo San Lucas,MX,79.11,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
99,Hithadhoo,MV,84.67,scattered clouds,-0.6,73.0833,Scoop Guest House
100,Guasdualito,VE,80.74,overcast clouds,7.2424,-70.7324,Hotel Cuibas
111,Hilo,US,80.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
114,Flinders,AU,81.05,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
117,Ternate,ID,83.8,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
118,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
123,Fare,PF,81.84,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
125,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
129,Iracoubo,GF,78.19,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
135,Truth Or Consequences,US,79.03,clear sky,33.1284,-107.2528,Charles Motel
141,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
143,Mitsamiouli,KM,80.8,broken clouds,-11.3847,43.2844,Foyer ADM
144,Moerai,PF,80.08,clear sky,-22.4333,-151.3333,Le Manotel
145,Mangrol,IN,83.16,clear sky,21.1167,70.1167,Hotel The Royal Honours
146,Mersing,MY,83.98,overcast clouds,2.4312,103.8405,Timotel Hotel
148,Srivardhan,IN,82.29,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
151,Tautira,PF,80.17,light rain,-17.7333,-149.15,Pension Oaoa
152,Sri Aman,MY,84.76,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
154,Atambua,ID,83.43,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
165,Akyab,MM,83.88,clear sky,20.15,92.9,Hotel Memory
168,Puerto Quijarro,BO,83.07,broken clouds,-17.7833,-57.7667,Hotel palance
197,Luis Gil Perez,MX,79.92,scattered clouds,17.8667,-93.05,
198,Sorong,ID,82.51,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
210,Merauke,ID,84.49,overcast clouds,-8.4667,140.3333,
211,Bandarbeyla,SO,82.58,scattered clouds,9.4942,50.8122,JABIR HOTEL
212,Mabay,PH,83.44,overcast clouds,6.0577,124.4666,Bautista Lodging House
