City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed
0,Tottori,JP,2022-04-29 02:04:59,shower rain,35.5,134.2333,55.47,94,75,2.3
1,Kushiro,JP,2022-04-29 02:06:06,overcast clouds,42.975,144.3747,47.73,48,98,15.41
2,Bathsheba,BB,2022-04-29 02:06:06,scattered clouds,13.2167,-59.5167,79.41,89,40,12.66
3,Ipora,BR,2022-04-29 02:02:34,clear sky,-16.4419,-51.1178,68.36,59,4,3.11
4,Ust-Tsilma,RU,2022-04-29 02:06:08,scattered clouds,65.441,52.1498,25.27,82,25,8.41
5,Rikitea,PF,2022-04-29 02:00:40,clear sky,-23.1203,-134.9692,77.05,69,0,18.34
6,Faanui,PF,2022-04-29 02:06:08,light rain,-16.4833,-151.75,81.46,72,0,21.54
7,Ushuaia,AR,2022-04-29 02:06:09,scattered clouds,-54.8,-68.3,40.66,87,40,27.63
8,Brae,GB,2022-04-29 02:06:09,overcast clouds,60.3964,-1.353,44.8,81,94,5.68
9,Ribeira Grande,PT,2022-04-29 02:06:10,light rain,38.5167,-28.7,63.59,84,100,20.71
10,Putina,PE,2022-04-29 02:06:11,few clouds,-15.4667,-69.4333,40.78,83,12,8.39
11,Albany,US,2022-04-29 02:06:11,clear sky,42.6001,-73.9662,43.63,34,0,7.0
12,Mathbaria,BD,2022-04-29 02:06:12,scattered clouds,22.2876,89.9593,88.48,58,44,7.49
13,Russell,US,2022-04-29 02:06:13,clear sky,32.3502,-85.1999,69.03,77,0,0.0
14,Tauranga,NZ,2022-04-29 02:06:13,clear sky,-37.6861,176.1667,66.15,26,0,4.9
15,Gigmoto,PH,2022-04-29 02:06:14,scattered clouds,13.7796,124.39,84.97,73,27,10.87
16,Dikson,RU,2022-04-29 02:06:14,few clouds,73.5069,80.5464,9.77,91,22,20.69
17,Rovaniemi,FI,2022-04-29 02:01:53,clear sky,66.5,25.7167,24.21,63,0,8.05
18,Atuona,PF,2022-04-29 02:06:15,broken clouds,-9.8,-139.0333,79.36,74,58,19.62
19,Labelle,US,2022-04-29 02:06:16,broken clouds,26.7617,-81.4384,71.98,83,71,7.63
20,Bethel,US,2022-04-29 02:05:23,clear sky,41.3712,-73.414,47.48,38,0,6.91
21,Punta Arenas,CL,2022-04-29 02:00:44,overcast clouds,-53.15,-70.9167,42.12,75,99,17.22
22,Port Elizabeth,ZA,2022-04-29 02:06:17,clear sky,-33.918,25.5701,63.32,66,4,3.0
23,Nemuro,JP,2022-04-29 02:06:18,overcast clouds,43.3236,145.575,42.15,65,100,11.1
24,Butaritari,KI,2022-04-29 02:03:02,overcast clouds,3.0707,172.7902,82.06,77,100,15.93
25,Celestun,MX,2022-04-29 02:06:19,scattered clouds,20.8667,-90.4,78.04,71,27,15.57
26,Saint-Philippe,RE,2022-04-29 02:06:19,scattered clouds,-21.3585,55.7679,74.79,79,46,13.11
27,Salamiyah,SY,2022-04-29 02:06:20,clear sky,35.0113,37.0532,64.49,49,0,1.68
28,Klyuchi,RU,2022-04-29 02:06:20,overcast clouds,52.2667,79.1667,61.56,42,100,11.41
29,Lusambo,CD,2022-04-29 02:06:21,moderate rain,-4.9667,23.45,69.35,99,100,1.16
30,Yellowknife,CA,2022-04-29 02:02:48,scattered clouds,62.456,-114.3525,33.57,64,25,18.99
31,Aktau,KZ,2022-04-29 02:06:22,clear sky,43.65,51.2,61.38,49,6,10.2
32,Asfi,MA,2022-04-29 02:02:53,scattered clouds,32.2994,-9.2372,57.6,78,50,14.72
33,Ahipara,NZ,2022-04-29 02:06:22,scattered clouds,-35.1667,173.1667,67.01,60,39,5.86
34,Bredasdorp,ZA,2022-04-29 02:05:27,overcast clouds,-34.5322,20.0403,56.57,95,100,6.44
35,Coquimbo,CL,2022-04-29 02:04:14,clear sky,-29.9533,-71.3436,60.33,76,0,4.07
36,Culebra,PR,2022-04-29 02:06:23,few clouds,18.303,-65.301,78.84,76,22,5.99
37,Tasiilaq,GL,2022-04-29 02:06:24,broken clouds,65.6145,-37.6368,28.56,84,60,5.55
38,Constitucion,CL,2022-04-29 02:06:25,clear sky,-35.3333,-72.4167,49.71,70,4,7.18
39,Vardo,NO,2022-04-29 02:06:25,light snow,70.3705,31.1107,26.89,61,100,22.7
40,Siavonga,ZM,2022-04-29 02:06:26,overcast clouds,-16.5382,28.7088,67.96,71,88,3.83
41,Tiksi,RU,2022-04-29 02:06:26,broken clouds,71.6872,128.8694,18.9,81,83,8.39
42,Puerto Padre,CU,2022-04-29 02:06:27,few clouds,21.195,-76.6028,73.35,68,17,8.79
43,San Patricio,US,2022-04-29 02:06:27,few clouds,28.017,-97.5169,77.09,81,23,13.53
44,Mataura,NZ,2022-04-29 02:03:39,clear sky,-46.1927,168.8643,57.47,62,8,0.92
45,Tuktoyaktuk,CA,2022-04-29 02:06:28,overcast clouds,69.4541,-133.0374,15.89,92,100,9.93
46,Pedernales,DO,2022-04-29 02:07:29,few clouds,18.0384,-71.744,76.17,71,15,5.99
47,Saldanha,ZA,2022-04-29 02:07:29,scattered clouds,-33.0117,17.9442,60.12,86,37,9.28
48,Honolulu,US,2022-04-29 02:05:02,scattered clouds,21.3069,-157.8583,83.44,64,40,13.8
49,Jamestown,US,2022-04-29 02:07:30,clear sky,42.097,-79.2353,35.71,60,0,3.44
50,Cape Town,ZA,2022-04-29 02:07:30,overcast clouds,-33.9258,18.4232,60.89,88,100,3.0
51,Kapaa,US,2022-04-29 02:03:40,scattered clouds,22.0752,-159.319,78.48,81,32,5.99
52,Touros,BR,2022-04-29 02:04:06,overcast clouds,-5.1989,-35.4608,77.14,89,91,10.18
53,Henties Bay,NA,2022-04-29 02:07:31,scattered clouds,-22.116,14.2845,63.54,69,32,6.76
54,Bengkulu,ID,2022-04-29 02:07:32,moderate rain,-3.8004,102.2655,82.29,72,98,3.49
55,Daru,PG,2022-04-29 02:07:32,overcast clouds,-9.0763,143.2092,84.56,71,98,10.6
56,Qaanaaq,GL,2022-04-29 02:07:33,broken clouds,77.484,-69.3632,15.31,90,77,7.65
57,Sorland,NO,2022-04-29 02:07:33,light snow,67.667,12.6934,35.08,60,100,14.23
58,San Andres,CO,2022-04-29 02:07:34,broken clouds,12.5847,-81.7006,80.62,78,75,12.66
59,Mukhen,RU,2022-04-29 02:07:34,scattered clouds,48.1,136.1,52.09,32,26,11.16
60,Puerto Madero,MX,2022-04-29 02:07:35,scattered clouds,14.7208,-92.4215,82.6,83,40,2.3
61,Saskylakh,RU,2022-04-29 02:07:36,overcast clouds,71.9167,114.0833,21.6,82,100,8.16
62,Kamenka,RU,2022-04-29 02:07:36,overcast clouds,51.3223,42.7678,43.0,65,98,7.07
63,Puerto Ayora,EC,2022-04-29 02:07:37,clear sky,-0.7393,-90.3518,71.76,91,3,6.98
64,Port Hardy,CA,2022-04-29 02:07:37,light intensity shower rain,50.6996,-127.4199,50.18,66,75,6.91
65,Tuatapere,NZ,2022-04-29 02:03:39,overcast clouds,-46.1333,167.6833,58.05,67,100,2.01
66,New Norfolk,AU,2022-04-29 02:07:38,moderate rain,-42.7826,147.0587,71.92,76,100,5.01
67,Chuy,UY,2022-04-29 02:07:38,clear sky,-33.6971,-53.4616,48.94,68,0,8.77
68,Sao Jose Da Coroa Grande,BR,2022-04-29 02:07:39,overcast clouds,-8.8978,-35.1478,77.97,77,98,8.97
69,Berdigestyakh,RU,2022-04-29 02:07:39,few clouds,62.0989,126.6992,34.18,73,24,4.81
70,Kavieng,PG,2022-04-29 02:07:40,scattered clouds,-2.5744,150.7967,86.31,64,31,6.08
71,Clyde River,CA,2022-04-29 02:07:35,overcast clouds,70.4692,-68.5914,3.43,92,100,4.61
72,Mount Isa,AU,2022-04-29 02:07:41,scattered clouds,-20.7333,139.5,89.37,45,45,12.66
73,Mehamn,NO,2022-04-29 02:07:41,light snow,71.0357,27.8492,25.97,82,100,17.85
74,Georgetown,MY,2022-04-29 02:07:32,few clouds,5.4112,100.3354,85.95,79,20,0.0
75,Kaitangata,NZ,2022-04-29 02:07:42,clear sky,-46.2817,169.8464,55.15,70,1,3.8
76,Ayorou,NE,2022-04-29 02:07:43,broken clouds,14.7308,0.9174,84.02,16,65,9.44
77,Mar Del Plata,AR,2022-04-29 02:07:43,clear sky,-38.0023,-57.5575,46.87,83,0,14.0
78,Busselton,AU,2022-04-29 02:00:51,clear sky,-33.65,115.3333,62.6,59,3,1.48
79,Longyearbyen,SJ,2022-04-29 02:07:44,few clouds,78.2186,15.6401,6.64,61,20,14.97
80,Tonj,SS,2022-04-29 02:07:44,overcast clouds,7.2737,28.6822,76.37,69,97,5.37
81,Hobart,AU,2022-04-29 02:07:45,moderate rain,-42.8794,147.3294,72.27,71,75,12.66
82,Petropavlovsk-Kamchatskiy,RU,2022-04-29 02:03:22,broken clouds,53.0452,158.6483,45.19,61,75,11.18
83,Kampot,KH,2022-04-29 02:07:46,overcast clouds,10.6167,104.1833,84.25,68,100,3.06
84,Nantucket,US,2022-04-29 02:07:46,few clouds,41.2835,-70.0995,50.11,48,20,18.41
85,Alice Springs,AU,2022-04-29 02:07:46,clear sky,-23.7,133.8833,90.95,17,1,10.36
86,Upernavik,GL,2022-04-29 02:07:47,overcast clouds,72.7868,-56.1549,13.82,93,100,5.14
87,Paragominas,BR,2022-04-29 02:03:14,overcast clouds,-2.9667,-47.4833,72.82,96,100,2.66
88,Bluff,NZ,2022-04-29 02:07:48,scattered clouds,-46.6,168.3333,57.79,69,35,4.21
89,Castro,BR,2022-04-29 02:07:33,overcast clouds,-24.7911,-50.0119,62.24,90,100,3.94
90,Vila,PT,2022-04-29 02:07:49,broken clouds,42.0304,-8.1588,45.48,86,52,4.0
91,Vestmannaeyjar,IS,2022-04-29 02:07:49,overcast clouds,63.4427,-20.2734,46.0,84,100,1.92
92,Mahebourg,MU,2022-04-29 02:07:50,scattered clouds,-20.4081,57.7,74.25,94,40,4.61
93,Fortuna,US,2022-04-29 02:07:38,clear sky,40.5982,-124.1573,56.93,65,0,9.22
94,Cabo San Lucas,MX,2022-04-29 02:07:51,clear sky,22.8909,-109.9124,79.11,50,0,0.0
95,Zyryanka,RU,2022-04-29 02:08:51,overcast clouds,65.75,150.85,22.89,82,100,11.88
96,New Haven,US,2022-04-29 02:06:52,clear sky,41.4001,-72.9329,48.06,29,0,21.0
97,Scarborough,GB,2022-04-29 02:08:07,overcast clouds,54.2797,-0.4044,37.9,87,100,0.6
98,Aketi,CD,2022-04-29 02:08:52,light rain,2.7388,23.7833,68.7,99,100,1.48
99,Hithadhoo,MV,2022-04-29 02:08:02,scattered clouds,-0.6,73.0833,84.67,65,36,4.27
100,Guasdualito,VE,2022-04-29 02:08:53,overcast clouds,7.2424,-70.7324,80.74,67,94,1.45
101,Watertown,US,2022-04-29 02:07:43,clear sky,42.3709,-71.1828,47.08,33,0,11.5
102,Zhangjiakou,CN,2022-04-29 02:08:54,overcast clouds,40.81,114.8794,56.79,45,97,4.85
103,Sherpur,BD,2022-04-29 02:08:54,clear sky,25.0188,90.0175,86.67,69,2,11.86
104,Korla,CN,2022-04-29 02:08:55,broken clouds,41.7597,86.1469,55.47,41,54,2.39
105,Batagay-Alyta,RU,2022-04-29 02:08:55,few clouds,67.8006,130.4114,18.64,80,15,4.63
106,Anadyr,RU,2022-04-29 02:08:56,clear sky,64.75,177.4833,32.5,69,0,2.24
107,Hay River,CA,2022-04-29 02:08:56,scattered clouds,60.8156,-115.7999,35.04,80,29,8.25
108,Lewistown,US,2022-04-29 02:08:57,clear sky,40.5992,-77.5714,47.61,23,0,0.0
109,Matagami,CA,2022-04-29 02:08:57,clear sky,49.7502,-77.6328,30.31,64,0,2.3
110,Kuybysheve,UA,2022-04-29 02:05:21,overcast clouds,47.358,36.6491,55.18,63,97,6.17
111,Hilo,US,2022-04-29 02:05:30,few clouds,19.7297,-155.09,80.28,77,20,9.22
112,Camaqua,BR,2022-04-29 02:08:59,scattered clouds,-30.8511,-51.8122,57.92,97,32,4.29
113,Champerico,GT,2022-04-29 02:08:59,clear sky,14.3,-91.9167,85.03,65,6,4.79
114,Flinders,AU,2022-04-29 02:09:00,scattered clouds,-34.5833,150.8552,81.05,70,47,7.0
